SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	73.319435	4.043579	970.321655	746.715546	-410.711670	-56.702423	143.773734	-119.445346	0.000000	
2	0.00100	70.878029	4.196167	966.963768	740.123749	-409.857178	-57.923126	144.359912	-123.589989	0.000000	
3	0.00200	66.605568	2.212524	961.775780	736.705780	-409.857178	-56.458282	146.646287	-123.015042	0.000000	
4	0.00300	62.180519	-0.228882	961.165428	738.658905	-412.054443	-52.552032	149.202938	-120.496594	0.000000	
5	0.00400	61.570168	-0.686646	962.691307	738.414764	-412.054443	-52.307892	148.523438	-121.968285	0.000000	
6	0.00500	63.096046	-0.686646	965.743065	739.147186	-411.322021	-55.481720	146.412478	-123.633710	0.000000	
7	0.00600	66.452980	-3.433228	960.555077	738.658905	-409.979248	-58.533478	147.314930	-120.008275	0.000000	
8	0.00700	67.521095	-6.332397	957.503319	742.321014	-409.735107	-58.289337	148.420300	-113.732698	0.000000	
9	0.00800	67.063332	-5.874634	955.672264	737.438202	-408.026123	-57.190704	147.451936	-117.356593	0.000000	
10	0.00900	68.436623	-4.501343	957.198143	733.531952	-405.340576	-58.167267	143.965694	-122.667598	0.000000	
11	0.01000	68.589211	-5.569458	952.620506	728.649139	-402.899170	-59.265900	143.437746	-124.110797	0.000000	
12	0.01100	65.232277	-5.722046	949.873924	726.451874	-404.119873	-56.214142	145.945802	-124.212321	0.000000	
13	0.01200	60.959816	-4.959106	948.042870	725.475311	-406.072998	-50.354767	148.827675	-123.765289	0.000000	
14	0.01300	59.433937	-0.076294	946.211815	723.277283	-405.462646	-48.157501	149.011503	-124.607428	0.000000	
15	0.01400	63.401222	0.991821	943.770409	717.173767	-404.119873	-52.307892	148.697228	-129.097210	0.000000	
16	0.01500	69.352150	-1.449585	942.244530	717.906189	-402.044678	-57.923126	147.188259	-127.089300	0.000000	
17	0.01600	70.878029	-5.874634	943.465233	719.615173	-401.678467	-59.876251	146.248033	-126.263708	0.000000	
18	0.01700	69.809914	-5.874634	942.244530	718.394470	-397.650146	-57.801056	142.524362	-126.571090	0.000000	
19	0.01800	68.741798	-5.722046	941.634178	715.953064	-398.748779	-57.312775	143.964641	-128.669629	0.000000	
20	0.01900	69.046974	-8.163452	933.089256	713.999939	-396.063232	-59.387970	144.964465	-123.799957	0.000000	
21	0.02000	68.131447	-11.062622	930.953026	710.093689	-397.039795	-59.998322	146.987464	-126.240044	0.000000	
22	0.02100	64.774513	-10.910034	930.342674	707.408142	-398.260498	-58.167267	148.579362	-128.626256	0.000000	
23	0.02200	64.164162	-9.994507	931.868553	704.478455	-397.528076	-57.801056	147.092436	-133.015208	0.000000	
24	0.02300	66.910744	-9.689331	928.206444	702.769470	-396.185303	-61.219025	147.328865	-131.873743	0.000000	
25	0.02400	70.267677	-13.198853	923.933983	700.816345	-394.842529	-66.590500	147.849288	-130.486558	0.000000	
26	0.02500	71.030617	-15.029907	923.018456	694.224548	-392.889404	-67.811203	146.157149	-136.875767	0.000000	
27	0.02600	70.115089	-15.640736	919.661522	692.027283	-391.180420	-66.590500	145.852600	-136.519586	0.000000	
28	0.02700	66.910744	-14.114380	919.661522	695.689392	-390.203857	-62.317657	144.790729	-132.537567	0.000000	
29	0.02800	63.706398	-14.419556	923.323631	700.816345	-392.401123	-60.486603	145.487631	-129.985152	0.000000	
30	0.02900	64.011574	-13.809204	929.732323	696.177673	-392.645264	-60.242462	142.820763	-140.206335	0.000000	
31	0.03000	65.537453	-13.198853	918.440819	691.294861	-391.790771	-62.317657	147.082490	-136.316924	0.000000	
32	0.03100	65.690041	-13.504028	913.558006	686.900330	-389.837646	-64.027023	147.224569	-137.104308	0.000000	
33	0.03200	66.910744	-15.182495	910.201073	688.121033	-388.861084	-62.684250	147.725473	-132.990088	0.000000	
34	0.03300	65.690041	-15.335083	919.356346	692.271423	-389.349365	-60.608673	144.002124	-136.004248	0.000000	
35	0.03400	64.621925	-15.487671	917.220116	689.830017	-388.494873	-60.120392	144.056861	-136.912246	0.000000	
36	0.03500	62.790871	-17.319202	908.675194	684.214783	-386.175156	-57.434845	145.487012	-136.019411	0.000000	
37	0.03600	58.823586	-17.929554	905.622482	676.646423	-383.367538	-55.725861	143.819370	-141.838311	0.000000	
38	0.03700	57.297707	-16.251087	895.551682	670.298004	-383.001328	-54.138947	148.170826	-140.525045	0.000000	
39	0.03800	57.145119	-14.114380	897.077560	668.100739	-383.123398	-50.843048	147.579457	-144.247519	0.000000	
40	0.03900	58.976173	-13.656616	894.941330	668.344879	-382.390976	-54.383087	147.780497	-142.196990	0.000000	
41	0.04000	59.128761	-17.776966	893.415451	668.833160	-383.245468	-55.603790	149.466689	-140.374979	0.000000	
42	0.04100	58.976173	-20.676136	897.382736	673.227692	-382.635117	-55.359650	146.890102	-138.787561	0.000000	
43	0.04200	58.365822	-19.760609	900.434494	673.960114	-381.658554	-54.383087	144.360433	-140.516776	0.000000	
44	0.04300	56.077003	-21.286488	895.551682	668.833160	-380.071640	-54.138947	144.899449	-142.160734	0.000000	
45	0.04400	58.060646	-22.202015	890.058517	664.438629	-378.484726	-54.871368	145.735778	-142.488826	0.000000	
46	0.04500	57.755470	-24.185658	889.448166	659.799957	-377.264023	-56.702423	144.655153	-147.191784	0.000000	
47	0.04600	56.229591	-22.964954	886.701584	657.358551	-378.240585	-55.725861	147.070328	-147.647370	0.000000	
48	0.04700	56.534767	-23.422718	882.123947	656.870270	-377.508163	-55.359650	148.453651	-144.353772	0.000000	
49	0.04800	58.976173	-25.253773	883.344650	660.288239	-378.484726	-58.167267	148.967785	-141.513457	0.000000	
50	0.04900	63.401222	-28.152943	885.786057	658.335114	-377.141953	-61.951447	146.270929	-145.778645	0.000000	
51	0.05000	59.891701	-30.441761	887.311935	656.870270	-377.141953	-63.294601	145.538746	-148.707614	0.000000	
52	0.05100	59.739113	-31.815052	880.903244	651.743317	-374.822617	-61.951447	145.998055	-149.141995	0.000000	
53	0.05200	59.281349	-30.289173	876.935959	647.837067	-373.235703	-60.364532	146.113409	-150.249285	0.000000	
54	0.05300	58.670998	-26.321888	875.104904	645.395660	-371.892929	-61.341095	145.469541	-151.493380	0.000000	
55	0.05400	59.891701	-23.727894	875.104904	644.663239	-372.503281	-61.585236	146.167002	-152.330333	0.000000	
56	0.05500	60.502052	-24.948597	876.935959	647.348785	-371.892929	-61.219025	144.582198	-150.806089	0.000000	
57	0.05600	60.044289	-27.695179	878.156662	652.231598	-374.456406	-60.120392	146.911849	-146.271935	0.000000	
58	0.05700	60.349464	-28.763294	879.682541	647.592926	-374.334335	-62.073517	146.033437	-152.833376	0.000000	
59	0.05800	62.943459	-28.152943	877.241135	646.372223	-372.137070	-65.125656	144.712973	-152.176113	0.000000	
60	0.05900	64.469337	-29.373646	869.611740	640.024567	-369.085312	-65.613937	144.925401	-153.011125	0.000000	
61	0.06000	63.401222	-28.458118	863.813400	636.362457	-366.643906	-62.684250	144.948041	-152.310274	0.000000	
62	0.06100	59.281349	-28.000355	861.677170	632.700348	-366.155624	-60.242462	145.433649	-154.733885	0.000000	
