SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_z
1	0.00000	21.744251	4.196167	622.720718	553.597260	-265.079880	-18.249893	146.180200	-0.002343	0.000000	
2	0.00100	22.812366	5.874634	619.974136	547.493744	-263.859177	-20.203018	146.097071	-5.908736	0.000000	
3	0.00200	25.253773	5.874634	612.955093	537.239838	-258.731842	-23.010635	142.605705	-12.524964	0.000000	
4	0.00300	24.338245	4.348755	612.344742	537.728119	-258.975983	-23.865128	143.425135	-10.853946	0.000000	
5	0.00400	23.270130	3.890991	616.006851	545.296478	-261.295319	-21.057510	144.675994	-3.788290	0.000000	
6	0.00500	21.591663	8.621216	616.312027	543.343353	-260.318756	-17.883682	142.881431	-7.395667	0.000000	
7	0.00600	24.948597	10.299683	610.818863	535.286713	-258.243561	-21.912003	143.282557	-12.657200	0.000000	
8	0.00700	26.627064	8.010864	613.565445	534.310150	-257.511139	-25.329971	140.196287	-18.171705	0.000000	
9	0.00800	25.558949	5.111694	612.649918	539.192963	-259.342194	-25.574112	143.812215	-8.900375	0.000000	
10	0.00900	25.711536	4.348755	612.955093	544.564056	-259.464264	-23.376846	143.800608	-0.575934	0.000000	
11	0.01000	23.880482	5.722046	609.903336	535.530853	-256.778717	-21.545792	141.515433	-10.941426	0.000000	
12	0.01100	22.812366	2.822876	604.410172	527.718353	-255.069733	-20.813370	142.514295	-15.887041	0.000000	
13	0.01200	23.575306	-0.228882	604.715347	529.915619	-256.168365	-23.254776	144.118098	-12.694113	0.000000	
14	0.01300	23.727894	0.381470	605.630875	533.821869	-256.168365	-24.231339	143.477718	-7.568932	0.000000	
15	0.01400	21.744251	1.602173	601.968765	526.741791	-251.895905	-21.179581	138.953447	-13.968236	0.000000	
16	0.01500	22.202015	4.653931	598.917007	519.905090	-251.285553	-18.860245	140.066567	-20.924651	0.000000	
17	0.01600	20.981312	3.738403	598.306656	523.811340	-254.581451	-18.371964	146.003292	-13.510257	0.000000	
18	0.01700	21.744251	4.196167	604.104996	531.380463	-256.534576	-21.057510	145.152301	-9.383929	0.000000	
19	0.01800	24.948597	4.959106	603.494644	528.939056	-253.482819	-23.376846	140.524968	-12.539767	0.000000	
20	0.01900	26.016712	5.569458	599.222183	520.393372	-250.186920	-23.987198	138.019456	-20.551892	0.000000	
21	0.02000	23.727894	4.196167	589.455605	513.069153	-250.064850	-22.400284	144.730168	-18.588134	0.000000	
22	0.02100	21.744251	2.059937	590.371132	515.998840	-251.895905	-20.203018	147.173817	-14.975488	0.000000	
23	0.02200	23.727894	2.059937	593.117714	518.928528	-251.651764	-20.447159	144.786374	-14.083410	0.000000	
24	0.02300	20.676136	3.738403	590.676308	512.825012	-247.867584	-22.400284	140.133530	-20.800268	0.000000	
25	0.02400	23.270130	0.686646	585.183144	503.547668	-246.280670	-24.353409	141.360841	-28.504147	0.000000	
26	0.02500	23.422718	-2.365112	583.657265	508.430481	-248.600006	-23.132706	146.434913	-17.888627	0.000000	
27	0.02600	21.896839	-1.144409	590.981483	517.951965	-252.384186	-21.301651	147.559380	-12.573276	0.000000	
28	0.02700	20.828724	0.534058	591.591835	517.219543	-248.477936	-22.522354	140.515830	-14.715548	0.000000	
29	0.02800	20.981312	-0.991821	589.150429	506.477356	-246.280670	-25.696182	138.526803	-29.325915	0.000000	
30	0.02900	22.049427	-1.449585	583.046913	504.524231	-247.135162	-24.109268	144.368400	-23.676439	0.000000	
31	0.03000	23.880482	-1.296997	587.014198	511.360168	-249.088287	-24.109268	144.830941	-17.879387	0.000000	
32	0.03100	25.711536	-0.534058	589.150429	515.510559	-247.867584	-23.865128	141.220366	-13.993323	0.000000	
33	0.03200	25.101185	0.991821	583.962440	507.209778	-244.205475	-26.672745	138.686955	-20.434245	0.000000	
34	0.03300	23.270130	-1.296997	579.384804	494.514465	-243.717194	-25.574112	141.148232	-35.483542	0.000000	
35	0.03400	22.202015	-2.365112	577.858925	497.444153	-246.402740	-22.766495	146.906394	-28.159869	0.000000	
36	0.03500	23.422718	-0.991821	583.352089	507.698059	-247.867584	-23.254776	145.402197	-18.688453	0.000000	
37	0.03600	24.338245	0.686646	583.657265	506.721497	-244.937897	-23.987198	140.160495	-20.816689	0.000000	
38	0.03700	23.422718	-1.449585	576.027870	494.758606	-241.031647	-24.597549	138.937474	-30.085646	0.000000	
39	0.03800	19.913197	-2.517700	570.839882	488.410950	-242.008209	-21.179581	144.451123	-33.399393	0.000000	
