SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	4.348755	-1.754761	12.664795	15.502930	7.385254	-1.159668	-303.632530	335.096386	0.000000	
2	0.00100	4.806519	0.686646	15.411377	16.723633	5.920410	-3.723145	-104.658416	196.148515	0.000000	
3	0.00200	5.264282	0.686646	15.411377	15.991211	4.455566	-2.502441	-9.608911	148.623762	0.000000	
4	0.00300	5.264282	-0.228882	10.528564	11.840820	6.042480	-1.525879	-294.413043	235.637681	0.000000	
5	0.00400	3.585815	1.144409	9.918213	12.084961	6.042480	-0.183105	-329.730769	329.461538	0.000000	
6	0.00500	-0.839233	2.517700	10.528564	11.108398	4.943848	0.061035	-190.065217	166.072464	0.000000	
7	0.00600	0.534058	3.433228	5.645752	9.887695	5.065918	1.892090	-617.797297	862.351351	0.000000	
8	0.00700	0.381470	3.280640	11.749268	9.887695	5.065918	3.845215	-151.668831	-47.441558	0.000000	
9	0.00800	0.839233	1.602173	9.613037	9.643555	5.432129	4.333496	-285.579365	114.174603	0.000000	
10	0.00900	1.296997	1.602173	8.087158	9.643555	6.164551	1.892090	-482.764151	303.452830	0.000000	
11	0.01000	0.076294	2.517700	11.444092	11.596680	4.577637	-0.061035	-120.500000	124.333333	0.000000	
12	0.01100	3.280640	2.365112	16.021729	14.282227	5.798340	0.061035	-82.404762	2.428571	0.000000	
13	0.01200	4.959106	-0.686646	15.411377	16.235352	6.652832	-0.305176	-152.183168	164.465347	0.000000	
14	0.01300	5.722046	-2.365112	14.495850	15.747070	6.774902	-2.502441	-187.868421	197.315789	0.000000	
15	0.01400	6.790161	-1.296997	8.392334	14.282227	6.896973	-5.432129	-542.318182	812.818182	0.000000	
16	0.01500	6.332397	1.296997	13.275146	13.549805	5.187988	-5.310059	-111.304598	131.689655	0.000000	
17	0.01600	4.501343	2.670288	14.190674	13.305664	4.333496	-1.892090	-25.876344	48.634409	0.000000	
18	0.01700	2.517700	3.128052	11.444092	11.352539	4.333496	1.403809	-99.166667	103.000000	0.000000	
19	0.01800	5.569458	2.822876	10.528564	9.887695	4.821777	0.427246	-178.471014	50.130435	0.000000	
20	0.01900	3.585815	4.196167	3.509521	9.643555	5.920410	-1.770020	-1407.456522	1858.826087	0.000000	
21	0.02000	3.280640	5.569458	9.613037	6.713867	4.821777	-0.915527	-222.087302	-190.587302	0.000000	
22	0.02100	2.517700	5.569458	10.528564	8.422852	4.943848	0.793457	-190.065217	-89.000000	0.000000	
23	0.02200	1.754761	2.822876	11.749268	13.305664	5.554199	2.746582	-193.227273	243.467532	0.000000	
